Stockroom,Company,Requester,Ticket,Date,Type,Item Number,PFC Confirmation, Planner Confirmation
C2,1861,C3 Inbound,774956,20201021,Short Shipment,BG01102058,,
C1,1861,C3 Inbound,774958,20201021,Short Shipment,29607100,,
63,9885,Mt Isa Warehouse,775007,20201021,Short Shipment,BG01494626,,
67,9885,Nita Broughton,775009,20201021,Misdirected Part/Shipment,88253649,,
C2,2300,C1Deviations,775013,20201021,Over Shipment,001109-037,,
C3,9182,apple zhuang,775015,20201021,Short Shipment,65669604000,,
C3,9182,apple zhuang,775016,20201021,Short Shipment,981955002,,
C3,9182,apple zhuang,775020,20201021,Short Shipment,65664547000,,
C1,1861,C3 Inbound,775035,20201021,Short Shipment,BG01158462,,
C1,9995,C2 Inbound Deviations,775116,20201021,Short Shipment,04000051,,
C1,3200,Marta Raposo,775133,20201021,Damaged part / Quality issue,55100216,,
